"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type"
"1","Unpolarized capacitor","C","C101,C201,C301,C401,C501","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B104KCFNNNE_C28233.pdf","C28233","B"
"2","Unpolarized capacitor","C","C102","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","C45783","B"
"3","Zener diode","D_Zener","D106","6V8","D_SOD-323_HandSoldering","1"," ","https://www.lcsc.com/datasheet/C123062.pdf","C123062","E"
"4","Light emitting diode","LED","D101,D102,D103,D104,D105,D201,D202,D203,D204,D205,D206,D207,D208,D301,D302,D303,D304,D305,D306,D307,D308,D401,D402,D403,D404,D405,D406,D407,D408,D501,D502,D503,D504,D505,D506,D507,D508","RED","LED_1206_3216Metric_ReverseMount","37"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2302091130_TOGIALED-TJ-S3216SWETNPLC2R-A5_C5356080.pdf","C5356080","E"
"5","Generic connectable mounting pin connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x24_MountingPin","J102","FFC","AFC11-S24ICC-00","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2212161930_JUSHUO-AFC11-S24ICC-00_C11075.pdf","C11075","E"
"6","Generic connector, single row, 01x16, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x16","J101","Front","PinHeader_2x08_P2.54mm_Vertical_SMD","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2209141730_DEALON-DZ254S-22-16-75_C5160782.pdf","C5160782","E"
"7","Resistor","R","R201,R202,R203,R204,R205,R206,R207,R208,R301,R302,R303,R304,R305,R306,R307,R308,R401,R402,R403,R404,R405,R406,R407,R408,R501,R502,R503,R504,R505,R506,R507,R508","220R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","32"," ","~","C25091","B"
"8","Resistor","R","R102,R103,R104,R105,R106","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","5"," ","~","C25900","B"
"9","Resistor","R","R101","47k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1"," ","~","C25792","B"
"10","4x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","SW_DIP_x04","SW101","SW_DIP_x04","SW_DIP_SPSTx04_Slide_6.2x11.16mm_P2.54mm","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_KAIFENG-KF1027B-04P-G00-DFT-01B_C976366.pdf","C976366","E"
"11","8-bit serial in/out Shift Register 3-State Outputs","74HC595","U201,U301,U401,U501","74HC595","TSSOP-16_4.4x5mm_P0.65mm","4"," ","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590920591287668736","C20613246","E"
"12","Digital Temperature Sensor with I2C/SMBus Interface, +/-2° C, one-shot conversion, alert, SOT-23-6","TMP101","U101","GX101","SOT-23-6","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2409280202_GXCAS-GX101S_C5441728.pdf","C5441728","E"
